frame	global_ped_id	x	y	avg_group_size
5140.0	0_106.0	2.85	5.39	1.75
5150.0	0_106.0	2.32	4.7	1.75
5160.0	0_106.0	1.75	4.0	1.75
5170.0	0_106.0	0.87	3.45	1.75
5180.0	0_106.0	0.2	2.85	1.75
5110.0	0_107.0	5.02	7.18	1.75
5120.0	0_107.0	4.15	6.96	1.75
5130.0	0_107.0	3.31	6.34	1.75
5140.0	0_107.0	2.59	5.93	1.75
5150.0	0_107.0	1.89	5.23	1.75
5160.0	0_107.0	1.12	4.55	1.75
5170.0	0_107.0	0.49	4.08	1.75
5180.0	0_107.0	-0.1	3.27	1.75
5110.0	0_108.0	3.55	8.86	0.8571428571428571
5120.0	0_108.0	2.91	8.86	0.8571428571428571
5130.0	0_108.0	1.49	9.17	0.8571428571428571
5140.0	0_108.0	0.62	9.39	0.8571428571428571
5150.0	0_108.0	-0.12	9.74	0.8571428571428571
5160.0	0_108.0	-0.94	10.2	0.8571428571428571
5170.0	0_108.0	-1.64	10.84	0.8571428571428571
5110.0	0_109.0	-3.07	4.58	2.0
5120.0	0_109.0	-2.13	4.72	2.0
5130.0	0_109.0	-1.17	4.92	2.0
5140.0	0_109.0	-0.39	5.24	2.0
5150.0	0_109.0	0.49	5.53	2.0
5160.0	0_109.0	1.33	5.71	2.0
5170.0	0_109.0	2.04	5.75	2.0
5180.0	0_109.0	2.95	5.76	2.0
5190.0	0_109.0	3.86	5.77	2.0
5200.0	0_109.0	4.75	5.76	2.0
5210.0	0_109.0	5.66	5.71	2.0
5220.0	0_109.0	6.56	5.68	2.0
5230.0	0_109.0	7.49	5.64	2.0
5240.0	0_109.0	8.41	5.61	2.0
5250.0	0_109.0	9.3	5.6	2.0
5260.0	0_109.0	10.17	5.53	2.0
5270.0	0_109.0	11.04	5.45	2.0
5280.0	0_109.0	11.95	5.4	2.0
5290.0	0_109.0	13.01	5.22	2.0
1050.0	0_11.0	12.51	6.19	2.5
1060.0	0_11.0	11.54	6.03	2.5
1070.0	0_11.0	10.96	5.97	2.5
1080.0	0_11.0	10.29	6.12	2.5
1090.0	0_11.0	9.88	6.21	2.5
1100.0	0_11.0	9.54	6.09	2.5
1110.0	0_11.0	8.87	5.99	2.5
1120.0	0_11.0	8.04	5.66	2.5
1130.0	0_11.0	7.17	5.45	2.5
1140.0	0_11.0	6.43	5.23	2.5
1150.0	0_11.0	5.67	5.16	2.5
1160.0	0_11.0	4.94	4.95	2.5
1170.0	0_11.0	4.26	4.71	2.5
1180.0	0_11.0	3.54	4.54	2.5
1190.0	0_11.0	2.82	4.35	2.5
1200.0	0_11.0	2.16	4.19	2.5
1210.0	0_11.0	1.39	3.97	2.5
1220.0	0_11.0	0.71	3.72	2.5
1230.0	0_11.0	0.01	3.41	2.5
1240.0	0_11.0	-0.63	3.08	2.5
5110.0	0_110.0	-3.0	5.3	1.894736842105263
5120.0	0_110.0	-2.07	5.44	1.894736842105263
5130.0	0_110.0	-1.12	5.6	1.894736842105263
5140.0	0_110.0	-0.39	5.84	1.894736842105263
5150.0	0_110.0	0.53	6.07	1.894736842105263
5160.0	0_110.0	1.4	6.25	1.894736842105263
5170.0	0_110.0	2.23	6.32	1.894736842105263
5180.0	0_110.0	3.11	6.3	1.894736842105263
5190.0	0_110.0	3.98	6.28	1.894736842105263
5200.0	0_110.0	4.87	6.27	1.894736842105263
5210.0	0_110.0	5.82	6.19	1.894736842105263
5220.0	0_110.0	6.71	6.14	1.894736842105263
5230.0	0_110.0	7.65	6.13	1.894736842105263
5240.0	0_110.0	8.56	6.09	1.894736842105263
5250.0	0_110.0	9.48	5.95	1.894736842105263
5260.0	0_110.0	10.46	6.1	1.894736842105263
5270.0	0_110.0	11.36	6.02	1.894736842105263
5280.0	0_110.0	12.21	5.97	1.894736842105263
5290.0	0_110.0	12.95	5.87	1.894736842105263
5150.0	0_111.0	-2.12	-0.54	0.9411764705882353
5160.0	0_111.0	-1.59	0.07	0.9411764705882353
5170.0	0_111.0	-0.75	0.49	0.9411764705882353
5180.0	0_111.0	0.16	1.04	0.9411764705882353
5190.0	0_111.0	0.89	1.25	0.9411764705882353
5200.0	0_111.0	1.76	1.49	0.9411764705882353
5210.0	0_111.0	2.61	1.91	0.9411764705882353
5220.0	0_111.0	3.48	2.22	0.9411764705882353
5230.0	0_111.0	4.4	2.41	0.9411764705882353
5240.0	0_111.0	5.35	2.49	0.9411764705882353
5250.0	0_111.0	6.29	2.54	0.9411764705882353
5260.0	0_111.0	7.07	2.5	0.9411764705882353
5270.0	0_111.0	8.07	2.63	0.9411764705882353
5280.0	0_111.0	8.86	2.95	0.9411764705882353
5290.0	0_111.0	9.87	3.25	0.9411764705882353
5300.0	0_111.0	10.62	3.75	0.9411764705882353
5310.0	0_111.0	11.61	4.17	0.9411764705882353
5220.0	0_112.0	12.64	5.35	0.9166666666666666
5230.0	0_112.0	11.5	5.11	0.9166666666666666
5240.0	0_112.0	10.21	4.79	0.9166666666666666
5250.0	0_112.0	8.92	4.63	0.9166666666666666
5260.0	0_112.0	7.63	4.67	0.9166666666666666
5270.0	0_112.0	6.45	4.68	0.9166666666666666
5280.0	0_112.0	5.25	4.71	0.9166666666666666
5290.0	0_112.0	4.09	4.71	0.9166666666666666
5300.0	0_112.0	2.95	4.7	0.9166666666666666
5310.0	0_112.0	1.78	4.64	0.9166666666666666
5320.0	0_112.0	0.59	4.56	0.9166666666666666
5330.0	0_112.0	-0.56	4.49	0.9166666666666666
5400.0	0_113.0	12.43	6.53	1.1666666666666667
5410.0	0_113.0	11.74	6.57	1.1666666666666667
5420.0	0_113.0	11.01	6.55	1.1666666666666667
5430.0	0_113.0	10.22	6.55	1.1666666666666667
5440.0	0_113.0	9.35	6.56	1.1666666666666667
5450.0	0_113.0	8.52	6.54	1.1666666666666667
5460.0	0_113.0	7.68	6.52	1.1666666666666667
5470.0	0_113.0	6.89	6.39	1.1666666666666667
5480.0	0_113.0	6.06	6.39	1.1666666666666667
5490.0	0_113.0	5.22	6.47	1.1666666666666667
5500.0	0_113.0	4.42	6.48	1.1666666666666667
5510.0	0_113.0	3.56	6.61	1.1666666666666667
5520.0	0_113.0	2.75	6.75	1.1666666666666667
5530.0	0_113.0	1.94	6.87	1.1666666666666667
5540.0	0_113.0	1.12	7.05	1.1666666666666667
5550.0	0_113.0	0.28	7.12	1.1666666666666667
5560.0	0_113.0	-0.5	7.2	1.1666666666666667
5570.0	0_113.0	-1.23	7.22	1.1666666666666667
5410.0	0_114.0	12.2	4.99	0.9411764705882353
5420.0	0_114.0	11.5	4.78	0.9411764705882353
5430.0	0_114.0	10.82	4.49	0.9411764705882353
5440.0	0_114.0	10.32	4.24	0.9411764705882353
5450.0	0_114.0	9.74	4.07	0.9411764705882353
5460.0	0_114.0	9.18	3.89	0.9411764705882353
5470.0	0_114.0	8.41	3.73	0.9411764705882353
5480.0	0_114.0	7.8	3.62	0.9411764705882353
5490.0	0_114.0	6.8	3.21	0.9411764705882353
5500.0	0_114.0	5.82	2.9	0.9411764705882353
5510.0	0_114.0	4.88	2.71	0.9411764705882353
5520.0	0_114.0	4.03	2.51	0.9411764705882353
5530.0	0_114.0	3.01	2.33	0.9411764705882353
5540.0	0_114.0	1.93	2.09	0.9411764705882353
5550.0	0_114.0	0.82	1.73	0.9411764705882353
5560.0	0_114.0	-0.04	1.29	0.9411764705882353
5570.0	0_114.0	-1.09	0.73	0.9411764705882353
5430.0	0_115.0	-1.73	0.53	0.5
5440.0	0_115.0	-1.73	0.53	0.5
5440.0	0_116.0	-0.55	1.19	0.9166666666666666
5450.0	0_116.0	0.59	1.83	0.9166666666666666
5460.0	0_116.0	1.71	2.36	0.9166666666666666
5470.0	0_116.0	2.95	2.92	0.9166666666666666
5480.0	0_116.0	4.11	3.44	0.9166666666666666
5490.0	0_116.0	5.35	3.85	0.9166666666666666
5500.0	0_116.0	6.63	4.07	0.9166666666666666
5510.0	0_116.0	7.79	4.31	0.9166666666666666
5520.0	0_116.0	8.96	4.5	0.9166666666666666
5530.0	0_116.0	10.18	4.59	0.9166666666666666
5540.0	0_116.0	11.38	4.8	0.9166666666666666
5550.0	0_116.0	12.59	4.98	0.9166666666666666
5470.0	0_117.0	-2.57	0.9	0.9411764705882353
5480.0	0_117.0	-1.84	1.77	0.9411764705882353
5490.0	0_117.0	-1.21	2.35	0.9411764705882353
5500.0	0_117.0	-0.32	2.93	0.9411764705882353
5510.0	0_117.0	0.45	3.38	0.9411764705882353
5520.0	0_117.0	1.47	3.73	0.9411764705882353
5530.0	0_117.0	2.47	3.9	0.9411764705882353
5540.0	0_117.0	3.63	4.02	0.9411764705882353
5550.0	0_117.0	4.61	4.1	0.9411764705882353
5560.0	0_117.0	5.68	4.19	0.9411764705882353
5570.0	0_117.0	6.69	4.34	0.9411764705882353
5580.0	0_117.0	7.8	4.45	0.9411764705882353
5590.0	0_117.0	8.86	4.63	0.9411764705882353
5600.0	0_117.0	9.95	4.89	0.9411764705882353
5610.0	0_117.0	11.02	5.1	0.9411764705882353
5620.0	0_117.0	12.04	5.13	0.9411764705882353
5630.0	0_117.0	13.25	4.97	0.9411764705882353
5490.0	0_118.0	-2.63	-0.35	0.9333333333333333
5500.0	0_118.0	-1.87	0.36	0.9333333333333333
5510.0	0_118.0	-1.0	1.07	0.9333333333333333
5520.0	0_118.0	-0.2	1.73	0.9333333333333333
5530.0	0_118.0	0.59	2.43	0.9333333333333333
5540.0	0_118.0	1.49	2.91	0.9333333333333333
5550.0	0_118.0	2.49	3.26	0.9333333333333333
5560.0	0_118.0	3.52	3.43	0.9333333333333333
5570.0	0_118.0	4.5	3.63	0.9333333333333333
5580.0	0_118.0	5.52	3.93	0.9333333333333333
5590.0	0_118.0	6.54	4.19	0.9333333333333333
5600.0	0_118.0	7.59	4.42	0.9333333333333333
5610.0	0_118.0	8.66	4.68	0.9333333333333333
5620.0	0_118.0	9.69	4.92	0.9333333333333333
5630.0	0_118.0	10.71	5.27	0.9333333333333333
5550.0	0_119.0	12.96	6.37	0.8888888888888888
5560.0	0_119.0	11.82	6.79	0.8888888888888888
5570.0	0_119.0	11.13	7.19	0.8888888888888888
5580.0	0_119.0	10.54	7.55	0.8888888888888888
5590.0	0_119.0	9.73	7.84	0.8888888888888888
5600.0	0_119.0	8.8	8.01	0.8888888888888888
5610.0	0_119.0	7.78	8.0	0.8888888888888888
5620.0	0_119.0	6.78	8.05	0.8888888888888888
5630.0	0_119.0	5.76	8.12	0.8888888888888888
1050.0	0_12.0	12.09	6.95	1.8
1060.0	0_12.0	11.4	6.93	1.8
1070.0	0_12.0	10.7	6.87	1.8
1080.0	0_12.0	10.07	6.73	1.8
1090.0	0_12.0	9.45	6.51	1.8
1100.0	0_12.0	8.9	6.33	1.8
1110.0	0_12.0	8.21	6.23	1.8
1120.0	0_12.0	7.49	6.06	1.8
1130.0	0_12.0	6.73	5.97	1.8
1140.0	0_12.0	5.98	5.8	1.8
1150.0	0_12.0	5.21	5.74	1.8
1160.0	0_12.0	4.45	5.61	1.8
1170.0	0_12.0	3.76	5.6	1.8
1180.0	0_12.0	3.03	5.39	1.8
1190.0	0_12.0	2.28	5.24	1.8
1200.0	0_12.0	1.57	5.06	1.8
1210.0	0_12.0	0.83	4.87	1.8
1220.0	0_12.0	0.11	4.68	1.8
1230.0	0_12.0	-0.65	4.3	1.8
1240.0	0_12.0	-1.48	3.9	1.8
5620.0	0_120.0	12.13	6.5	0.5
5630.0	0_120.0	11.31	6.81	0.5
6230.0	0_121.0	10.73	5.96	1.8666666666666667
6240.0	0_121.0	9.8	6.2	1.8666666666666667
6250.0	0_121.0	8.86	6.38	1.8666666666666667
6260.0	0_121.0	7.79	6.62	1.8666666666666667
6270.0	0_121.0	6.88	6.85	1.8666666666666667
6280.0	0_121.0	6.01	7.01	1.8666666666666667
6290.0	0_121.0	5.14	7.18	1.8666666666666667
6300.0	0_121.0	4.25	7.31	1.8666666666666667
6310.0	0_121.0	3.29	7.63	1.8666666666666667
6320.0	0_121.0	2.4	7.86	1.8666666666666667
6330.0	0_121.0	1.52	8.07	1.8666666666666667
6340.0	0_121.0	0.71	8.43	1.8666666666666667
6350.0	0_121.0	-0.1	8.8	1.8666666666666667
6360.0	0_121.0	-0.84	9.26	1.8666666666666667
6370.0	0_121.0	-1.6	9.7	1.8666666666666667
6230.0	0_122.0	10.67	6.71	1.8666666666666667
6240.0	0_122.0	9.79	6.95	1.8666666666666667
6250.0	0_122.0	8.85	7.14	1.8666666666666667
6260.0	0_122.0	7.95	7.33	1.8666666666666667
6270.0	0_122.0	7.05	7.55	1.8666666666666667
6280.0	0_122.0	6.22	7.71	1.8666666666666667
6290.0	0_122.0	5.36	7.88	1.8666666666666667
6300.0	0_122.0	4.53	8.02	1.8666666666666667
6310.0	0_122.0	3.45	8.24	1.8666666666666667
6320.0	0_122.0	2.54	8.42	1.8666666666666667
6330.0	0_122.0	1.66	8.64	1.8666666666666667
6340.0	0_122.0	0.89	8.99	1.8666666666666667
6350.0	0_122.0	0.17	9.47	1.8666666666666667
6360.0	0_122.0	-0.52	9.95	1.8666666666666667
6370.0	0_122.0	-1.27	10.4	1.8666666666666667
6340.0	0_123.0	-2.46	5.21	1.1764705882352942
6350.0	0_123.0	-1.66	5.08	1.1764705882352942
6360.0	0_123.0	-0.88	4.85	1.1764705882352942
6370.0	0_123.0	0.08	4.78	1.1764705882352942
6380.0	0_123.0	1.02	4.72	1.1764705882352942
6390.0	0_123.0	1.94	4.67	1.1764705882352942
6400.0	0_123.0	2.92	4.57	1.1764705882352942
6410.0	0_123.0	3.83	4.5	1.1764705882352942
6420.0	0_123.0	4.81	4.47	1.1764705882352942
6430.0	0_123.0	5.75	4.33	1.1764705882352942
6440.0	0_123.0	6.69	4.38	1.1764705882352942
6450.0	0_123.0	7.62	4.43	1.1764705882352942
6460.0	0_123.0	8.54	4.68	1.1764705882352942
6470.0	0_123.0	9.45	4.91	1.1764705882352942
6480.0	0_123.0	10.37	5.02	1.1764705882352942
6490.0	0_123.0	11.32	5.15	1.1764705882352942
6500.0	0_123.0	12.31	5.24	1.1764705882352942
6340.0	0_124.0	9.9	6.58	0.9166666666666666
6350.0	0_124.0	8.75	6.63	0.9166666666666666
6360.0	0_124.0	7.57	6.61	0.9166666666666666
6370.0	0_124.0	6.4	6.47	0.9166666666666666
6380.0	0_124.0	5.26	6.28	0.9166666666666666
6390.0	0_124.0	4.11	6.12	0.9166666666666666
6400.0	0_124.0	2.99	6.0	0.9166666666666666
6410.0	0_124.0	1.85	5.79	0.9166666666666666
6420.0	0_124.0	0.75	5.5	0.9166666666666666
6430.0	0_124.0	-0.28	5.05	0.9166666666666666
6440.0	0_124.0	-1.26	4.41	0.9166666666666666
6450.0	0_124.0	-2.33	3.58	0.9166666666666666
6400.0	0_125.0	-2.25	4.53	0.9333333333333333
6410.0	0_125.0	-1.17	4.57	0.9333333333333333
6420.0	0_125.0	-0.07	4.51	0.9333333333333333
6430.0	0_125.0	0.93	4.56	0.9333333333333333
6440.0	0_125.0	2.01	4.58	0.9333333333333333
6450.0	0_125.0	3.06	4.55	0.9333333333333333
6460.0	0_125.0	4.05	4.45	0.9333333333333333
6470.0	0_125.0	5.13	4.44	0.9333333333333333
6480.0	0_125.0	6.19	4.44	0.9333333333333333
6490.0	0_125.0	7.32	4.44	0.9333333333333333
6500.0	0_125.0	8.39	4.42	0.9333333333333333
6510.0	0_125.0	9.43	4.43	0.9333333333333333
6520.0	0_125.0	10.47	4.47	0.9333333333333333
6530.0	0_125.0	11.52	4.72	0.9333333333333333
6540.0	0_125.0	12.58	5.08	0.9333333333333333
6420.0	0_126.0	-5.19	6.38	1.45
6430.0	0_126.0	-4.3	6.5	1.45
6440.0	0_126.0	-3.36	6.56	1.45
6450.0	0_126.0	-2.42	6.51	1.45
6460.0	0_126.0	-1.39	6.39	1.45
6470.0	0_126.0	-0.56	6.38	1.45
6480.0	0_126.0	0.26	6.18	1.45
6490.0	0_126.0	1.27	6.02	1.45
6500.0	0_126.0	2.25	5.84	1.45
6510.0	0_126.0	3.14	5.65	1.45
6520.0	0_126.0	4.08	5.47	1.45
6530.0	0_126.0	5.0	5.31	1.45
6540.0	0_126.0	5.9	5.29	1.45
6550.0	0_126.0	6.75	5.23	1.45
6560.0	0_126.0	7.65	5.14	1.45
6570.0	0_126.0	8.49	5.03	1.45
6580.0	0_126.0	9.31	4.97	1.45
6590.0	0_126.0	10.08	5.01	1.45
6600.0	0_126.0	10.86	4.96	1.45
6610.0	0_126.0	11.57	4.74	1.45
6420.0	0_127.0	-5.45	7.31	1.4
6430.0	0_127.0	-4.56	7.42	1.4
6440.0	0_127.0	-3.66	7.48	1.4
6450.0	0_127.0	-2.72	7.42	1.4
6460.0	0_127.0	-1.59	7.31	1.4
6470.0	0_127.0	-0.59	7.22	1.4
6480.0	0_127.0	0.36	7.14	1.4
6490.0	0_127.0	1.32	7.05	1.4
6500.0	0_127.0	2.28	6.9	1.4
6510.0	0_127.0	3.16	6.66	1.4
6520.0	0_127.0	4.1	6.43	1.4
6530.0	0_127.0	5.01	6.31	1.4
6540.0	0_127.0	5.92	6.23	1.4
6550.0	0_127.0	6.84	6.22	1.4
6560.0	0_127.0	7.72	6.19	1.4
6570.0	0_127.0	8.67	6.17	1.4
6580.0	0_127.0	9.53	6.23	1.4
6590.0	0_127.0	10.39	6.23	1.4
6600.0	0_127.0	11.2	6.25	1.4
6610.0	0_127.0	12.02	6.08	1.4
6480.0	0_128.0	-1.72	4.83	0.9285714285714286
6490.0	0_128.0	-0.44	4.6	0.9285714285714286
6500.0	0_128.0	0.86	4.38	0.9285714285714286
6510.0	0_128.0	1.97	4.17	0.9285714285714286
6520.0	0_128.0	3.14	3.96	0.9285714285714286
6530.0	0_128.0	4.32	3.75	0.9285714285714286
6540.0	0_128.0	5.47	3.64	0.9285714285714286
6550.0	0_128.0	6.59	3.66	0.9285714285714286
6560.0	0_128.0	7.61	3.69	0.9285714285714286
6570.0	0_128.0	8.6	3.76	0.9285714285714286
6580.0	0_128.0	9.57	3.81	0.9285714285714286
6590.0	0_128.0	10.73	4.13	0.9285714285714286
6600.0	0_128.0	11.97	4.52	0.9285714285714286
6610.0	0_128.0	13.11	4.93	0.9285714285714286
6590.0	0_129.0	13.16	4.09	0.6666666666666666
6600.0	0_129.0	13.2	3.55	0.6666666666666666
6610.0	0_129.0	13.2	3.55	0.6666666666666666
1070.0	0_13.0	11.87	6.09	1.9444444444444444
1080.0	0_13.0	11.34	6.14	1.9444444444444444
1090.0	0_13.0	10.43	5.53	1.9444444444444444
1100.0	0_13.0	9.72	5.35	1.9444444444444444
1110.0	0_13.0	8.99	5.21	1.9444444444444444
1120.0	0_13.0	8.27	5.01	1.9444444444444444
1130.0	0_13.0	7.58	4.9	1.9444444444444444
1140.0	0_13.0	6.84	4.67	1.9444444444444444
1150.0	0_13.0	6.09	4.44	1.9444444444444444
1160.0	0_13.0	5.38	4.17	1.9444444444444444
1170.0	0_13.0	4.68	3.91	1.9444444444444444
1180.0	0_13.0	4.01	3.71	1.9444444444444444
1190.0	0_13.0	3.3	3.57	1.9444444444444444
1200.0	0_13.0	2.59	3.42	1.9444444444444444
1210.0	0_13.0	1.89	3.28	1.9444444444444444
1220.0	0_13.0	1.22	3.06	1.9444444444444444
1230.0	0_13.0	0.53	2.76	1.9444444444444444
1240.0	0_13.0	-0.07	2.47	1.9444444444444444
6800.0	0_130.0	10.45	3.88	1.5
6810.0	0_130.0	9.57	3.76	1.5
6820.0	0_130.0	8.64	3.64	1.5
6830.0	0_130.0	7.75	3.47	1.5
6840.0	0_130.0	6.94	3.3	1.5
6850.0	0_130.0	5.97	3.07	1.5
6860.0	0_130.0	4.99	2.95	1.5
6870.0	0_130.0	3.96	2.89	1.5
6880.0	0_130.0	2.98	3.08	1.5
6890.0	0_130.0	1.95	3.0	1.5
6900.0	0_130.0	0.94	2.78	1.5
6910.0	0_130.0	0.01	2.47	1.5
6920.0	0_130.0	-1.02	1.85	1.5
6930.0	0_130.0	-1.95	1.31	1.5
6940.0	0_130.0	-2.81	0.61	1.5
6950.0	0_130.0	-3.41	-0.17	1.5
6800.0	0_131.0	10.84	4.88	1.5
6810.0	0_131.0	9.76	4.68	1.5
6820.0	0_131.0	8.72	4.51	1.5
6830.0	0_131.0	7.6	4.33	1.5
6840.0	0_131.0	6.53	4.24	1.5
6850.0	0_131.0	5.44	4.12	1.5
6860.0	0_131.0	4.38	3.96	1.5
6870.0	0_131.0	3.26	3.88	1.5
6880.0	0_131.0	2.19	3.76	1.5
6890.0	0_131.0	1.06	3.58	1.5
6900.0	0_131.0	0.11	3.29	1.5
6910.0	0_131.0	-0.85	2.95	1.5
6920.0	0_131.0	-1.72	2.51	1.5
6930.0	0_131.0	-2.58	1.89	1.5
6940.0	0_131.0	-3.48	1.24	1.5
6950.0	0_131.0	-4.1	0.5	1.5
6810.0	0_132.0	11.98	5.84	0.9333333333333333
6820.0	0_132.0	10.83	5.96	0.9333333333333333
6830.0	0_132.0	9.66	6.05	0.9333333333333333
6840.0	0_132.0	8.51	6.16	0.9333333333333333
6850.0	0_132.0	7.34	6.15	0.9333333333333333
6860.0	0_132.0	6.18	6.15	0.9333333333333333
6870.0	0_132.0	4.99	6.22	0.9333333333333333
6880.0	0_132.0	3.86	6.24	0.9333333333333333
6890.0	0_132.0	2.58	6.29	0.9333333333333333
6900.0	0_132.0	1.41	6.37	0.9333333333333333
6910.0	0_132.0	0.31	6.42	0.9333333333333333
6920.0	0_132.0	-0.93	6.39	0.9333333333333333
6930.0	0_132.0	-2.03	6.35	0.9333333333333333
6940.0	0_132.0	-3.08	6.52	0.9333333333333333
6950.0	0_132.0	-4.13	6.77	0.9333333333333333
6820.0	0_133.0	12.27	5.34	0.9285714285714286
6830.0	0_133.0	11.11	5.13	0.9285714285714286
6840.0	0_133.0	9.87	5.07	0.9285714285714286
6850.0	0_133.0	8.46	5.02	0.9285714285714286
6860.0	0_133.0	7.2	4.93	0.9285714285714286
6870.0	0_133.0	5.98	4.77	0.9285714285714286
6880.0	0_133.0	4.53	4.71	0.9285714285714286
6890.0	0_133.0	3.45	4.56	0.9285714285714286
6900.0	0_133.0	2.39	4.3	0.9285714285714286
6910.0	0_133.0	1.21	4.06	0.9285714285714286
6920.0	0_133.0	0.25	3.84	0.9285714285714286
6930.0	0_133.0	-0.91	3.49	0.9285714285714286
6940.0	0_133.0	-2.08	3.07	0.9285714285714286
6950.0	0_133.0	-3.14	2.56	0.9285714285714286
6830.0	0_134.0	-2.27	11.61	0.9333333333333333
6840.0	0_134.0	-1.42	10.84	0.9333333333333333
6850.0	0_134.0	-0.34	10.17	0.9333333333333333
6860.0	0_134.0	0.61	9.59	0.9333333333333333
6870.0	0_134.0	1.75	9.22	0.9333333333333333
6880.0	0_134.0	2.87	9.05	0.9333333333333333
6890.0	0_134.0	4.13	8.74	0.9333333333333333
6900.0	0_134.0	5.25	8.44	0.9333333333333333
6910.0	0_134.0	6.36	8.22	0.9333333333333333
6920.0	0_134.0	7.55	7.8	0.9333333333333333
6930.0	0_134.0	8.71	7.38	0.9333333333333333
6940.0	0_134.0	9.81	6.97	0.9333333333333333
6950.0	0_134.0	10.99	6.53	0.9333333333333333
6960.0	0_134.0	12.13	6.19	0.9333333333333333
6970.0	0_134.0	13.11	5.88	0.9333333333333333
6830.0	0_135.0	-3.17	-1.27	1.0
6840.0	0_135.0	-2.52	-0.43	1.0
6850.0	0_135.0	-1.81	0.36	1.0
6860.0	0_135.0	-0.95	1.04	1.0
6870.0	0_135.0	-0.02	1.46	1.0
6880.0	0_135.0	0.79	1.81	1.0
6890.0	0_135.0	1.66	2.2	1.0
6900.0	0_135.0	2.71	2.55	1.0
6910.0	0_135.0	3.57	2.7	1.0
6920.0	0_135.0	4.45	2.93	1.0
6930.0	0_135.0	5.24	2.99	1.0
6940.0	0_135.0	6.3	3.16	1.0
6950.0	0_135.0	7.17	3.48	1.0
6960.0	0_135.0	8.06	3.98	1.0
6970.0	0_135.0	8.89	4.5	1.0
6980.0	0_135.0	9.86	4.68	1.0
6990.0	0_135.0	10.91	4.82	1.0
7000.0	0_135.0	12.04	5.07	1.0
6840.0	0_136.0	12.44	5.99	0.9411764705882353
6850.0	0_136.0	11.54	6.36	0.9411764705882353
6860.0	0_136.0	10.48	6.6	0.9411764705882353
6870.0	0_136.0	9.41	6.77	0.9411764705882353
6880.0	0_136.0	8.39	6.83	0.9411764705882353
6890.0	0_136.0	7.29	6.94	0.9411764705882353
6900.0	0_136.0	6.17	7.13	0.9411764705882353
6910.0	0_136.0	5.1	7.48	0.9411764705882353
6920.0	0_136.0	3.98	7.81	0.9411764705882353
6930.0	0_136.0	2.92	8.24	0.9411764705882353
6940.0	0_136.0	1.86	8.69	0.9411764705882353
6950.0	0_136.0	1.03	9.06	0.9411764705882353
6960.0	0_136.0	-0.09	9.54	0.9411764705882353
6970.0	0_136.0	-0.92	9.99	0.9411764705882353
6980.0	0_136.0	-1.77	10.62	0.9411764705882353
6990.0	0_136.0	-2.75	11.29	0.9411764705882353
7000.0	0_136.0	-3.33	12.05	0.9411764705882353
6870.0	0_137.0	12.77	5.14	0.9444444444444444
6880.0	0_137.0	11.85	4.89	0.9444444444444444
6890.0	0_137.0	10.81	4.53	0.9444444444444444
6900.0	0_137.0	9.8	4.38	0.9444444444444444
6910.0	0_137.0	8.91	4.17	0.9444444444444444
6920.0	0_137.0	7.96	4.16	0.9444444444444444
6930.0	0_137.0	6.98	4.15	0.9444444444444444
6940.0	0_137.0	6.09	4.11	0.9444444444444444
